OrderID,OrderDate,CustomerID,Freight,RowNum,CustomerFreightRank,RunningTotalFreight
18429,2012-07-10 15:40:46,GREAL,271,1,81,271.0
25506,2012-07-10 20:28:57,RICAR,310.75,2,75,581.75
26048,2012-07-11 01:09:16,LONEP,465.75,3,16,1047.5
16958,2012-07-11 20:26:28,FOLKO,234,4,87,1281.5
25877,2012-07-11 21:17:36,NORTS,319.75,5,51,1601.25
16993,2012-07-11 21:17:46,AROUT,121.25,6,117,1722.5
19158,2012-07-12 05:29:34,RATTC,231.5,7,86,1954.0
19258,2012-07-12 08:42:56,HUNGO,64.5,8,143,2018.5
14262,2012-07-12 11:39:39,RANCH,399.75,9,42,2418.25
25939,2012-07-12 12:10:41,SIMOB,415,10,31,2833.25
19303,2012-07-12 16:27:31,FRANS,357,11,51,3190.25
20949,2012-07-12 23:26:30,BONAP,186.5,12,106,3376.75
16551,2012-07-13 01:14:03,QUICK,136,13,121,3512.75
24572,2012-07-13 11:17:53,REGGC,496.25,14,7,4009.0
11898,2012-07-13 14:29:29,ANTON,133.5,15,118,4142.5
18994,2012-07-13 15:05:27,BOLID,107.5,16,152,4250.0
14020,2012-07-14 11:57:11,MORGK,398,17,46,4648.0
16932,2012-07-14 16:10:21,BONAP,306.5,18,69,4954.5
25735,2012-07-15 00:13:44,TRADH,66.5,19,162,5021.0
12012,2012-07-15 05:33:51,THEBI,90,20,141,5111.0
